source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio
Табаххыттан кулу эрэ.,дай-ка немножко твоего табаку.,3,5,21,30,1.4285714285714286,1.6666666666666667
Кулуһун курдук көнө.,он строен как камыш.,3,5,20,20,1.0,1.6666666666666667
Баайга биэрэр кумахха ууну кутар кэриэтэ.,"отдавать богачу - всё равно, что лить воду в песок.",6,12,41,51,1.2439024390243902,2.0
Кураанах тыльшан кумахтан өтүүнү өрөр.,он пустыми словами из песка верёвки вьёт.,5,8,38,41,1.0789473684210527,1.6
Куттанан кумуйбут.,он весь съёжился от страха.,2,6,18,27,1.5,3.0
Ыт кутуругун кумунна.,собака поджала хвост.,3,4,21,21,1.0,1.3333333333333333
Куоска тыҥырахтарын кумунар.,кошка убирает когти.,3,4,28,20,0.7142857142857143,1.3333333333333333
Куоска тыҥырахтарын кумунар.,кошка втягивает когти.,3,4,28,22,0.7857142857142857,1.3333333333333333
Оиуурдаах куобах кэтэҕинэн оонньуур.,заяц в лесу без оглядки резвится.,4,7,36,33,0.9166666666666666,1.75
Оиуурдаах куобах кэтэҕинэн оонньуур.,заяц чувствует себя в безопасности.,4,6,36,35,0.9722222222222222,1.5
Тыалтан тииттэр төбөлөрө куоҕалдьыһаллар.,верхушки деревьев качаются от ветра.,4,6,41,36,0.8780487804878049,1.5
Том мунньахха тыл эттэ.,том выступил на собрании.,4,5,23,25,1.0869565217391304,1.25
Артист сценаҕа оонньоото.,артист выступил на сцене.,3,5,25,25,1.0,1.6666666666666667
Бырахпыт быыра курдук барыам.,"я исчезну, как пущенная из лука стрела.",4,9,29,39,1.3448275862068966,2.25
Ардах быыстала суох кутар.,дождь льёт беспрерывно.,4,4,26,23,0.8846153846153846,1.0
Икки көлүйэ күөлү биир тиит быыһаабыт үһү.,одна лесина разделила два озерца.,7,6,42,33,0.7857142857142857,0.8571428571428571
"Оҕолор олбуорга быардыы түһэн баран, саҥата суох биһигини одууласпыттара.","ребятишки, навалившись на забор, молча смотрели на нас.",9,11,73,55,0.7534246575342466,1.2222222222222223
Том сыалыһар быара буолар.,том льстит.,4,3,26,11,0.4230769230769231,0.75
Том сыалыһар быара буолар.,том лебезит.,4,3,26,12,0.46153846153846156,0.75
Том сыалыһар быара буолар.,том становится как печень налима.,4,6,26,33,1.2692307692307692,1.5
Мария күннүктээн иистэнэн унаарыйар.,мария целыми днями неторопливо шьёт.,4,6,36,36,1.0,1.5
Сайын манна от үүнэн унаарыйар.,летом здесь колышется сочная высокая трава.,5,7,31,43,1.3870967741935485,1.4
Ыраах буруо унаарыйар.,вдали мягко курится дымок.,3,5,22,26,1.1818181818181819,1.6666666666666667
Отуу буруота унаарыччы таҕыста.,высоко вьётся дымок от костра.,4,6,31,30,0.967741935483871,1.5
Уһун буруону унаарытар.,он живёт богато и счастливо.,3,6,23,28,1.2173913043478262,2.0
Уһун буруону унаарытар.,у него дым протягивается и вширь.,3,7,23,33,1.434782608695652,2.3333333333333335
Аппын уҥардым.,я запалил свою лошадь.,2,5,14,22,1.5714285714285714,2.5
Аппын уҥардым.,я загнал свою лошадь.,2,5,14,21,1.5,2.5
Кутталыттан уҥна.,от испуга он потерял сознание.,2,6,17,30,1.7647058823529411,3.0
Ардахтаах күннэргэ супту уҥуоҕургуубун.,в ненастные дни я всегда чувствую вялость.,4,8,39,42,1.0769230769230769,2.0
Бу сон өҥө-түүтэ бараммыт.,эта шуба совершенно износилась.,4,5,26,31,1.1923076923076923,1.25
Ынаххыт өҥө-түүтэ хайдах этэй?,какова на вид была ваша корова?,4,7,30,31,1.0333333333333334,1.75
Былаат кустук араас өҥүнэн оонньоото.,платок переливался разными цветами радуги.,5,6,37,42,1.135135135135135,1.2
Итиннэ кини өҥөтө улахан.,в этом его большая заслуга.,4,6,25,27,1.08,1.5
Кинигэни ааҕан кэбистэ.,он быстро прочитал книгу.,3,5,23,25,1.0869565217391304,1.6666666666666667
"Өр-өтөр гыммата, бүтэрэн кэбистэ.",он тотчас же это сделал.,4,6,33,24,0.7272727272727273,1.5
Былыттар өрө күүрэн таҕыстылар.,облака стремительно заволокли небо.,4,5,31,35,1.1290322580645162,1.25
Окко өрөбүлэ суох үлэлээбиттэрэ.,на сеноуборке они работали без выходных.,4,7,32,40,1.25,1.75
Өрөҕөтө-уорҕата биллибэт.,он совершенно беспринципный человек.,2,5,25,36,1.44,2.5
"Уол оҕо бүгүн ат өрөҕөтүгэр, сарсын ат уорҕа-тыгар.","добрый молодец сегодня оказывается под конём, завтра — на коне.",8,12,51,63,1.2352941176470589,1.5
Оскуола быйыл үчүгэйдик өрөмүөннэммит.,в этом году школа хорошо отремонтирована.,4,7,38,41,1.0789473684210527,1.75
Манна хае да күн өрөөтүлэр.,здесь они отдыхали несколько дней.,5,6,27,34,1.2592592592592593,1.2
Өрөөбүт уоскун өһүл.,"держи речь, замолви слово.",3,6,20,26,1.3,2.0
Өрөөбүт уоскун өһүл.,развяжи свои праздные уста.,3,5,20,27,1.35,1.6666666666666667
Сүрэҕим өрүкүйэр.,у меня сердце трепещет.,2,5,17,23,1.3529411764705883,2.5
Дьэ өрүөл дии!,ну и орёл!,3,4,14,10,0.7142857142857143,1.3333333333333333
"Ити дорҕоону сатаан эппэппин, тылым өҕүллүбэт.","этот звук я не могу произнести, язык не поворачивается.",6,11,46,55,1.1956521739130435,1.8333333333333333
Том биһиги диэки өҕүллүбэт.,том не обращает внимания на нас.,4,7,27,32,1.1851851851851851,1.75
Өйө сынньылынна.,он отупел.,2,3,16,10,0.625,1.5
Өйө сынньылынна.,он перестал соображать.,2,4,16,23,1.4375,2.0
Кини ити тыллартан олус өһүргэннэ.,он очень оскорбился этими словами.,5,6,34,34,1.0,1.2
Аҕа дьону кытта мөккүһүмэ.,не пререкайся со старшими.,4,5,26,26,1.0,1.25
Аҕа баһын тосту олорбут.,он превзошёл своего отца.,4,5,24,25,1.0416666666666667,1.25
Аҕа баһын тосту олорбут.,он затмил славу своего отца.,4,6,24,28,1.1666666666666667,1.5
Кураанах маска хаан аҕыыр.,сухое дерево пачкает кровью.,4,5,26,28,1.0769230769230769,1.25
Кураанах маска хаан аҕыыр.,он завистник и клеветник.,4,5,26,25,0.9615384615384616,1.25
Том барыга аҕаамах киһи.,том легко осваивает любое дело.,4,6,24,31,1.2916666666666667,1.5
Том барыга аҕаамах киһи.,том большой умелец.,4,4,24,19,0.7916666666666666,1.0
Атыран аҕай сылдьар.,он находится в зените славы.,3,6,20,28,1.4,2.0
Ыксаабыт-ыгылыйбыт аҕай.,он страшно волнуется и торопится.,2,6,24,33,1.375,3.0
Доҕорум аҕай диэбит киһим.,я его всегда считал своим большим другом.,4,8,26,41,1.5769230769230769,2.0
Мин аҕай дэнэҕин.,"думаешь, только ты такой хороший.",3,7,17,33,1.9411764705882353,2.3333333333333335
Мин аҕай дэнэҕин.,ты много о себе мнишь.,3,6,17,22,1.2941176470588236,2.0
Биһиги аҕай буолбахтаабыккыт.,вы много о себе воображали.,3,6,29,27,0.9310344827586207,2.0
Итини барыан аҕай иннинэ эппитэ.,он об этом сказал перед самым отъездом.,5,8,32,39,1.21875,1.6
Соторутааҕыта аҕай бааллара.,они были здесь совсем недавно.,3,6,28,30,1.0714285714285714,2.0
Соторутааҕыта аҕай бааллара.,они только что были здесь.,3,6,28,26,0.9285714285714286,2.0
Аттыгынан аҕай ааспыт.,он прошёл совсем близко от тебя.,3,7,22,32,1.4545454545454546,2.3333333333333335
Кинини кытары булчут аҕай барыта сөбүлэспит.,с ним согласился каждый охотник.,6,6,44,32,0.7272727272727273,1.0
Мария үчүгэй аҕайдык үөрэнэрэ.,мария училась довольно хорошо.,4,5,30,30,1.0,1.25
Үчүгэй аҕайдык кэһэтэн биэр.,проучи его как следует.,4,5,28,23,0.8214285714285714,1.25
Дьулуурдаах аҕайдык үлэлээтибит.,мы работали очень упорно.,3,5,32,25,0.78125,1.6666666666666667
Сүөһүлэри манна үүрэн аҕал.,пригони сюда весь скот.,4,5,27,23,0.8518518518518519,1.25
Көтүмэх үлэ көдьүүһү аҕалбат.,небрежная работа не приносит пользы.,4,6,29,36,1.2413793103448276,1.5
Көтүмэх үлэ көдьүүһү аҕалбат.,авось до добра не доведёт.,4,6,29,26,0.896551724137931,1.5
Бааскын бу эминэн аҕан.,намажь свою рану этим снадобьем.,4,6,23,32,1.391304347826087,1.5
Күлэр ытыыр икки аҕас-балыстар.,смех и плач — родные сёстры.,4,7,31,28,0.9032258064516129,1.75
Баастан хаан аҕыалаата.,из раны выступила кровь.,3,5,23,24,1.0434782608695652,1.6666666666666667
Уу аҕыйаата.,воды стало мало.,2,4,12,16,1.3333333333333333,2.0
Мантан аҕыйата түс.,убавь отсюда немножко.,3,4,19,22,1.1578947368421053,1.3333333333333333
Дойдубун ахтабын.,я тоскую по своей родине.,2,6,17,25,1.4705882352941178,3.0
Оҕо ийэтин ахтар.,ребёнок скучает по матери.,3,5,17,26,1.5294117647058822,1.6666666666666667
Бааһын хаана аҕынна.,у него из раны перестала течь кровь.,3,8,20,36,1.8,2.6666666666666665
Уоргун аҕырат.,умерь свой гнев.,2,4,14,16,1.1428571428571428,2.0
Оннооҕор күөл уута аҕырымныыр.,вода в озере и та убывает.,4,7,30,26,0.8666666666666667,1.75
Оннооҕор күөл уута аҕырымныыр.,no ничего вечного.,4,4,30,18,0.6,1.0
Дьааһыгыттан кинигэлэрин хостоото.,он вынул книги из ящика.,3,6,34,24,0.7058823529411765,2.0
Ойбонтон борооскуну хостоотулар.,телёнка вытащили из проруби.,3,5,32,28,0.875,1.6666666666666667
Мантан элбэх көмүһү хостууллар.,здесь добывают много золота.,4,5,31,28,0.9032258064516129,1.25
Үс хостоох дьиэлээх.,у него в доме три комнаты.,3,7,20,26,1.3,2.3333333333333335
Угуҥ хос сүгэтэй?,зачем тебе два топора?,3,5,17,22,1.2941176470588236,1.6666666666666667
Угуҥ хос сүгэтэй?,зачем тебе второй топор?,3,5,17,24,1.411764705882353,1.6666666666666667
Хос-хос кэпсээтэ.,"он рассказывал, повторяясь.",2,5,17,27,1.588235294117647,2.5
Үтүлүк иһигэр кокуоска биэрбиккэ дылы.,будто кукиш в рукавице показали.,5,6,38,32,0.8421052631578947,1.2
Көҕүйбүччэ мин эмиэ сүүрдүм.,следом за другими я тоже побежал.,4,7,28,33,1.1785714285714286,1.75
Мантан көдьүүс тахсыа суох.,от этого не будет пользы.,4,6,27,25,0.9259259259259259,1.5
Тугу да көдьүүстэммэтим.,из этого я не извлёк никакой пользы.,3,8,24,36,1.5,2.6666666666666665
Туохха көдьүүстээҕэ биллибэт.,"какая от него польза, ещё неизвестно.",3,8,29,37,1.2758620689655173,2.6666666666666665
Атахтарым көймөһүннүлэр.,у меня запарились ноги.,2,5,24,23,0.9583333333333334,2.5
Үлэтин киһиэхэ көлбөрүйэр.,он свою работу сваливает на другого.,3,7,26,36,1.3846153846153846,2.3333333333333335
Сорудаҕы бэйэтиттэн көлбөрүтэр.,он уклоняется от поручения.,3,5,31,27,0.8709677419354839,1.6666666666666667
Көлдьүн күөмэйиттэн көппүт көнө буолааччы.,исходящее из уст мошенника всегда кажется правдой.,5,8,42,50,1.1904761904761905,1.6
Ити аты көлүн.,запряги себе этого коня.,3,5,14,24,1.7142857142857142,1.6666666666666667
Сыарҕа сыҥааҕа көллүбүт.,у саней разогнулись полозья.,3,5,24,28,1.1666666666666667,1.6666666666666667
"Хаан хаалбат, көлүөнэ көппөт.","кровь не исчезнет, поколение не пропадёт.",4,8,29,41,1.4137931034482758,2.0
Бу эмп көмөлеспөт.,это лекарство не помогает.,3,5,18,26,1.4444444444444444,1.6666666666666667
Том үлэбэр көмөлөһөөччү.,том оказывает мне помощь в работе.,3,7,24,34,1.4166666666666667,2.3333333333333335
"Уҥуохта көмүллээ, уоһахта салаа.","успокойся, умерь свой пыл и гнев.",4,8,32,33,1.03125,2.0
"Уҥуохта көмүллээ, уоһахта салаа.","погрызи кость, поешь молозива.",4,6,32,30,0.9375,1.5
Сэттэ сымыыттан биирдэрэ кыһыл көмүс үһү.,из семи яиц одно золотое.,6,6,41,25,0.6097560975609756,1.0
Алҕаскын көннөрүн.,исправь свою ошибку.,2,4,18,20,1.1111111111111112,2.0
Эн миэхэ дьөллүргэ буолума.,не будь ты мне обузой.,4,6,27,22,0.8148148148148148,1.5
Том харчытын миэхэ туттарда.,том передал мне свои деньги.,4,6,28,28,1.0,1.5
Сотору Күн Дьөһөгөй оҕолоро кэлэр.,скоро придут дети солнечного божества.,5,6,34,38,1.1176470588235294,1.2
Ити мал сайын күндү буолуо.,эта вещь летом станет редкостью.,5,6,27,32,1.1851851851851851,1.2
Манна түүлээҕи күндүргэтэллэр.,здесь ценятся меха.,3,4,30,19,0.6333333333333333,1.3333333333333333
Хос электричествонан күндээрбит.,комната ярко освещена электричеством.,3,5,32,37,1.15625,1.6666666666666667
Поезд күннэри-түүннэри айанныыр.,"поезд идёт и днём, и ночью.",3,8,32,27,0.84375,2.6666666666666665
Күннээҕи үтүө сонно ааһар.,сделанное мимоходом тут же забывается.,4,6,26,38,1.4615384615384615,1.5
Күнүүлээтэххэ түүн уһун.,"когда ревнуешь, ночь длинна.",3,6,24,28,1.1666666666666667,2.0
Эрин күнүүлүүр.,она ревнует своего мужа.,2,5,15,24,1.6,2.5
Том доҕорун күнүүлүү санаата.,том позавидовал своему другу.,4,5,29,29,1.0,1.25
Өссө биир күннээхпин.,у меня есть ещё день.,3,6,21,21,1.0,2.0
Бүгүн аппын сынньаттым.,сегодня я дал своей лошади отдохнуть.,3,7,23,37,1.608695652173913,2.3333333333333335
Сынньыынан кими да туохха да үөрэтиэҥ суоҕа.,побоями никого ничему не научишь.,7,6,44,33,0.75,0.8571428571428571
Быһаҕым биитин тимиргэ сынтарыттым.,я затупил свой нож о железо.,4,7,35,28,0.8,1.75
Бу таҥас кинини сонотор.,эта одежда его полнит.,4,5,24,22,0.9166666666666666,1.25
"Аҥара күрдьэх маһа, аҥара таҥара маһа.","одна половина годится для лопаты, другая — для иконы.",6,11,38,53,1.394736842105263,1.8333333333333333
"Аҥара күрдьэх маһа, аҥара таҥара маһа.",хорошее и плохое соседствуют друг с другом.,6,8,38,43,1.131578947368421,1.3333333333333333
"Ат көһүннэҕинэ, ыҥыыр көстүө, быһах көһүннэҕинэ, кыын көстүе.","будет конь — найдётся и седло, будет нож — найдутся и ножны.",8,14,61,60,0.9836065573770492,1.75
Тарбахтарым көһүйдүлэр.,у меня окоченели пальцы.,2,5,23,24,1.0434782608695652,2.5
Көхсүм көһүйдэ.,у меня спина онемела.,2,5,15,21,1.4,2.5
Көхтөөхтүк ыллыыллар.,они поют слаженно.,2,4,21,18,0.8571428571428571,2.0
Көхтөөхтүк үлэлээтибит.,мы работали дружно.,2,4,23,19,0.8260869565217391,2.0
Көхтөөхтүк үлэлээтибит.,мы работали споро.,2,4,23,18,0.782608695652174,2.0
Сон сиигинэн көтүлүннэ.,пальто распоролось по швам.,3,5,23,27,1.173913043478261,1.6666666666666667
Оҕону көтөх.,посади ребёнка себе на колени.,2,6,12,30,2.5,3.0
Өрө көтөҕүллүбүт.,он в приподнятом настроении.,2,5,17,28,1.6470588235294117,2.5
Илин атаххыт ибирэ суох буоллун!,пусть ваши ноги не встретят никаких препятствий!,5,8,32,48,1.5,1.6
Ибис-иккиэйэх олоробут.,мы живём только вдвоём.,2,5,23,23,1.0,2.5
Бу кыргыттар игирэлии маарыннаһаллар.,"эти девочки похожи, как близнецы.",4,7,37,33,0.8918918918918919,1.75
Идэлээҕи кытта олоруоҥ — идэлээх буолуоҥ.,с мастером поживёшь — мастером станешь.,6,7,41,39,0.9512195121951219,1.1666666666666667
Миигин идэһэлэнэр санаалаах.,он намерен расправиться со мной.,3,6,28,32,1.1428571428571428,2.0
"Ии, итини кыайыам дуо?","увы, разве я справлюсь с этим?",4,8,22,30,1.3636363636363635,2.0
Иибэр-сиибэр самыыр ибиирдиир.,временами моросит дождь.,3,4,30,24,0.8,1.3333333333333333
Киһи мантан тугу да иилэн ылыа суох.,из него ничего путного не выйдет.,7,7,36,33,0.9166666666666666,1.0
Доҕоро эппитин иилэ хабан ылла.,он сразу подхватил сказанное его приятелем.,5,7,31,43,1.3870967741935485,1.4
Илин арҕаа диэккиттэн куораты иилии хайа курдуур.,с востока и запада город опоясан горами.,7,8,49,40,0.8163265306122449,1.1428571428571428
Сабы иилиһиннэримэ.,не путай нитки.,2,4,19,15,0.7894736842105263,2.0
Бөһүөлэги тула хайа иилиир.,посёлок окружают горы.,4,4,27,22,0.8148148148148148,1.0
"Барбыт буоллаҕына, төннөөр.","если он уехал, ты возвращайся назад.",3,8,27,36,1.3333333333333333,2.6666666666666665
"Эбэтэр киһи буол, эбэтэр кии буол.","или будь человеком, или превратись в навоз.",6,9,34,43,1.2647058823529411,1.5
"Эбэтэр киһи буол, эбэтэр кии буол.","или грудь в крестах, или голова в кустах.",6,10,34,41,1.2058823529411764,1.6666666666666667
Аан дойдуга араас событиелар буолаллар.,в мире происходят разные события.,5,6,39,33,0.8461538461538461,1.2
Күһүн-саас тоҥоруулар буолаллар.,весной и осенью бывают заморозки.,3,6,32,33,1.03125,2.0
Бу улахан ситиһии буолар.,это — большой успех.,4,5,25,20,0.8,1.25
Итинник буолбат буол.,никогда больше не поступай так.,3,6,21,31,1.4761904761904763,2.0
Оннук эрэ буоллун!,пусть будет только так!,3,5,18,23,1.2777777777777777,1.6666666666666667
Оннук эрэ буолбатын!,только бы не это!,3,5,20,17,0.85,1.6666666666666667
Оннук эрэ буолбатын!,только бы этого не случилось!,3,6,20,29,1.45,2.0
Сылдьар буолуҥ.,захаживайте к нам.,2,4,15,18,1.2,2.0
Сылдьар буолуҥ.,заходите к нам почаще.,2,5,15,22,1.4666666666666666,2.5
Ыарыһах аһаабыта буолла.,"больной сделал вид, что ест.",3,7,24,28,1.1666666666666667,2.3333333333333335
Өһүргэммитэ буола-буола!,он ещё обижается!,2,4,24,17,0.7083333333333334,2.0
Кини барбыта ыраатта буолбат дуо.,он ведь давным-давно уехал.,5,5,33,27,0.8181818181818182,1.0
Аны миигин билбэккит буолаарай?,"может, и меня не знаете, а?",4,9,31,27,0.8709677419354839,2.25
Манна Том саамай кутталлахыт киһи буолаарай.,"наверное, том здесь самый опасный человек.",6,8,44,42,0.9545454545454546,1.3333333333333333
Кутталыттан кута ыстанна.,от испуга у него душа в пятки ушла.,3,9,25,35,1.4,3.0
"Куттар хороммот, бастар бараммат.","льёшь - не убавляется, черпаешь - не кончается.",4,10,33,47,1.4242424242424243,2.5
Кини миигин олус куттаата.,он меня очень напугал.,4,5,26,22,0.8461538461538461,1.25
Абааһыны хаххан баһынан куттаабыкка дылы.,"это всё равно, что пугать чёрта головой филина.",5,10,41,47,1.146341463414634,2.0
Куттаҕас алдьархайы улаатыннарар.,трус преувеличивает опасность.,3,4,33,30,0.9090909090909091,1.3333333333333333
Куттаҕас алдьархайы улаатыннарар.,трус умножает опасность.,3,4,33,24,0.7272727272727273,1.3333333333333333
Кутталыгар кута куртаҕар түстэ.,от страха у него душа ушла в пятки.,4,9,31,35,1.1290322580645162,2.25
Күөл мууһа кутталламмыт.,лёд на озере стал опасно тонким.,3,7,24,32,1.3333333333333333,2.3333333333333335
Ыарыыта кутталламмыт.,его болезнь становится угрожающей.,2,5,21,34,1.619047619047619,2.5
Ыарыыта кутталламмыт.,её болезнь становится угрожающей.,2,5,21,33,1.5714285714285714,2.5
Куттамсахха турбут барыта тойон.,трусу всяк господин.,4,4,32,20,0.625,1.0
"Тэҥсик куттаммат, кэлбит килбигийбэт.","гонец не боится, прибывший не стесняется.",4,8,37,41,1.1081081081081081,2.0
"Тэҥсик куттаммат, кэлбит килбигийбэт.","для него важнее дело, из-за которого он прибыл.",4,10,37,47,1.2702702702702702,2.5
Куттас үйэтигэр сүүстэ өлөр.,трус в жизни сто раз умирает.,4,7,28,29,1.0357142857142858,1.75
Куттас бэйэтин күлүгүттэн куттанар.,трус и собственной тени боится.,4,6,35,31,0.8857142857142857,1.5
Кэччэгэй кутуйах кутуругар кэмнээн аһыыр.,"скупой ест, измеряя длиной мышиного хвоста.",5,8,41,43,1.048780487804878,1.6
Оннооҕор кутуйах хаһаастаах.,даже у мыши свои запасы есть.,3,7,28,29,1.0357142857142858,2.3333333333333335
Кумах суолга кутулунна.,дорога засыпана песком.,3,4,23,23,1.0,1.3333333333333333
Дьон хоско кутуллан киирдилэр.,люди заполнили комнату.,4,4,30,23,0.7666666666666667,1.0
Кутургуйа таптаабыт сиригэр тахсар.,"чирей вскакивает, где ему вздумается.",4,7,35,37,1.0571428571428572,1.75
Концерт кутуругун эрэ баттаатым.,я застал только конец концерта.,4,6,32,31,0.96875,1.5
Куһаҕан кутуруктаах.,плохое имеет свои последствия.,2,5,20,30,1.5,2.5
Куһаҕан кутуруктаах.,плохое бывает с хвостом.,2,5,20,24,1.2,2.5
Барар үһүгүн.,тебе велят идти.,2,4,13,16,1.2307692307692308,2.0
Кини буолуо уонна ким үһү.,"наверняка он, а кто же ещё.",5,8,26,27,1.0384615384615385,1.6
Диибин үһү!,говорю же!,2,3,11,10,0.9090909090909091,1.5
Билэллэр үһүө.,вряд ли они узнают.,2,5,14,19,1.3571428571428572,2.5
Аны кэлэн булар үһүбүөн.,теперь-то едва ли найду.,4,5,24,24,1.0,1.25
Албынныыр үһүө?,неужели обманет?,2,3,15,16,1.0666666666666667,1.5
Үһүөйэх киһи.,их всего лишь трое.,2,5,13,19,1.4615384615384615,2.5
Саҥа доҕордооҕор эргэ доҕор ордук.,старый друг лучше нового.,5,5,34,25,0.7352941176470589,1.0
Ыппын доҕор оҥостон олоробун.,собака разделяет моё одиночество.,4,5,29,33,1.1379310344827587,1.25
"Доҕор, хантан иһэҕин?","друг, откуда идёшь?",3,5,21,19,0.9047619047619048,1.6666666666666667
Туох сүрдээх этиҥэй доҕор?,что за страшный гром?,4,5,26,21,0.8076923076923077,1.25
Мин көрөн туруом суоҕа доҕор!,"ну, я ему спуску не дам!",5,8,29,24,0.8275862068965517,1.6
Ким билэр доҕор!,а кто его знает!,3,5,16,16,1.0,1.6666666666666667
"О, сор эбит доҕоор!","ох, что за наказание!",4,6,19,21,1.105263157894737,1.5
Бэйи доҕор!,ну погоди!,2,3,11,10,0.9090909090909091,1.5
Бэйи доҕор!,ну постой!,2,3,11,10,0.9090909090909091,1.5
Дьэ бэрт доҕор!,надо же быть такому!,3,5,15,20,1.3333333333333333,1.6666666666666667
Дьэ бэрт доҕор!,поди ж ты!,3,4,15,10,0.6666666666666666,1.3333333333333333
Ким доҕордоох — ол дьоллоох.,"кто имеет друзей, тот счастлив.",5,7,28,31,1.1071428571428572,1.4
Эйэҕэс киһи үгүс доҕордоох.,добрый человек имеет много друзей.,4,6,27,34,1.2592592592592593,1.5
Баай дьадыҥыны кытта доҕордоспот.,богатый с бедным не дружит.,4,6,33,27,0.8181818181818182,1.5
Илиитин итии чаанньыкка даҕайда.,он дотронулся рукой до горячего чайника.,4,7,32,40,1.25,1.75
Диэмэ даҕаны!,и не говори!,2,4,13,12,0.9230769230769231,2.0
Буолумуна даҕаны.,"конечно, так и должно быть.",2,7,17,27,1.588235294117647,3.5
Даҕаспытынан таҕыстылар.,они вышли следом друг за другом.,2,7,24,32,1.3333333333333333,3.5
Маны оҥорор дөбөҥ.,сделать это нетрудно.,3,4,18,21,1.1666666666666667,1.3333333333333333
Тымныйдахха ыалдьар дөбөҥ.,простудишься — заболеть легко.,3,5,26,30,1.1538461538461537,1.6666666666666667
Мантан куоракка тиийэр дөбөҥ.,отсюда скорее можно добраться до города.,4,7,29,40,1.3793103448275863,1.75
Үлэтин дөбөҥнүк бүтэрбит.,он быстро закончил свою работу.,3,6,25,31,1.24,2.0
Дөрүн-дөрүн сылдьар.,он приходит изредка.,2,4,20,20,1.0,2.0
Дөрүн-дөрүн сөтөллөр.,он покашливает.,2,3,21,15,0.7142857142857143,1.5
Бигэтик эрэн.,твёрдо надейся.,2,3,13,15,1.1538461538461537,1.5
Бигэтик иҥиннэр.,закрепи это прочно.,2,4,16,19,1.1875,2.0
Уһун бытыктара бигиир функцияны толороллор.,длинные усики рака выполняют осязательную функцию.,5,7,43,50,1.1627906976744187,1.4
Дуохтуур ыарыһах хоругун бигээн көрдө.,доктор пощупал пульс больного.,5,5,38,30,0.7894736842105263,1.0
Бөрө бидилгэҕи хабан өллө.,волк проглотил спицу с наживкой и сдох.,4,8,26,39,1.5,2.0
Ат бидилгэхтиир хаара түспүт.,"снег выпал такой, что лошадь вязнет.",4,8,29,36,1.2413793103448276,2.0
Быһах биилэннэ.,нож стал острым.,2,4,15,16,1.0666666666666667,2.0
Уолбут биирэ.,нашему сыну годик.,2,4,13,18,1.3846153846153846,2.0
Биир ылбайы сэттэтэ уоппукка дылы.,"это всё равно, что одного малька на семь частей делить.",5,12,34,55,1.6176470588235294,2.4
Кинилэр таҥастара биир.,у них одинаковая одежда.,3,5,23,24,1.0434782608695652,1.6666666666666667
Биир тылынан эттэххэ ити барыта сыыһа оҥоһуллубут.,"короче говоря, всё это сделано неверно.",7,8,50,39,0.78,1.1428571428571428
Итэҕэстэр бааллара биир үксүн итинэн быһаарыллар.,наличие недостатков во многом объясняется этим.,6,7,49,47,0.9591836734693877,1.1666666666666667
"Биирдэ баран эттэххэ, кини хайдаҕа да миэхэ син биир.","откровенно говоря, мне безразлично, какой он есть.",9,10,53,50,0.9433962264150944,1.1111111111111112
"Биирдэ санаатахха, ол эмиэ даҕаны сөптөөх курдук.","впрочем, и это тоже как будто правильно.",7,9,49,40,0.8163265306122449,1.2857142857142858
"Биириһинэн, үөрэҕэр үчүгэй, иккиһинэн, үчүгэй общественник.","во-первых, он хорошо учится, во-вторых, хороший общественник.",6,11,59,61,1.0338983050847457,1.8333333333333333
"Биириһинэн, үөрэҕэр үчүгэй, иккиһинэн, үчүгэй общественник.","во-первых, она хорошо учится, во-вторых, хороший общественник.",6,11,59,62,1.0508474576271187,1.8333333333333333
Сир үрдүгэр араас биистэр уонна норуоттар олороллор.,на земле живут разные племена и народности.,7,8,52,43,0.8269230769230769,1.1428571428571428
Бу дойдуга куобах бииһээбит дойдута.,в этой местности расплодились зайцы.,5,6,36,36,1.0,1.2
Илини арҕааны билбэт.,"он не различает, где восток, где запад.",3,10,21,39,1.8571428571428572,3.3333333333333335
"Билэҕин дуо, мин онно барыахпын оччо баҕарбаппын ээ.","знаешь, мне не очень хочется туда пойти.",8,9,52,40,0.7692307692307693,1.125
Оҕонньор билгэтинэн сотору атыыр ардах буолуохтаах.,"по приметам стариков, скоро пойдёт ливень.",6,8,51,42,0.8235294117647058,1.3333333333333333
Күөл уута билгэйбит.,вода переполнила озеро.,3,4,20,23,1.15,1.3333333333333333
Симиир кымыһынан билгэйбит.,кожаный мех полон кумыса.,3,5,27,25,0.9259259259259259,1.6666666666666667
Симиир кымыһынан билгэйбит.,бурдюк полон кумыса.,3,4,27,20,0.7407407407407407,1.3333333333333333
Кырдьаҕастарга күнү дьылы билгэлэтий.,а ты попроси стариков предсказать погоду.,4,7,37,41,1.1081081081081081,1.75
Били киһибит ханна тиийдэ?,куда же делся тот человек?,4,6,26,26,1.0,1.5
Били хонууга кэллибит.,мы пришли на ту самую поляну.,3,7,22,29,1.3181818181818181,2.3333333333333335
"Били, мин оччоҕо барыахтаах этим дии.","помнишь, я тогда должен был ехать.",6,8,37,34,0.918918918918919,1.3333333333333333
Билигин эрэ көрдүм бу киһини.,я только теперь увидел этого человека.,5,7,29,38,1.3103448275862069,1.4
Саха сирин алмааһа аан дойдуга билиннэ.,алмазы якутии стали известны всему миру.,6,7,39,40,1.0256410256410255,1.1666666666666667
